Umbilical vein	Carries oxygenated blood to fetus	Becomes ligamentum teres
Ductus venosus	Bypasses fetal liver sinusoids	Becomes ligamentum venosum
Foramen ovale	Right-to-left fetal atrial shunt	Closes to form fossa ovalis
Placenta praevia	Placenta overlies or approaches internal cervical os	Painless third-trimester bleeding
Placental abruption	Premature placental separation	Painful bleeding and uterine tenderness
Pelvic floor support	Levator ani + endopelvic fascia	Prevents prolapse and incontinence
Stress urinary incontinence	Weak pelvic floor/urethral support	Leak with coughing or laughing
Pudendal nerve roots	S2–S4	External urethral and anal sphincter control
Ventricular septal defect	Usually membranous septum; common congenital cardiac defect	Left-to-right shunt
Atrial septal defect	Interatrial communication, often secundum	Fixed split S2 and left-to-right shunt
Oogenesis arrest	Primary oocytes arrest in prophase I	Remain until ovulation cycle
Secondary oocyte arrest	Metaphase II	Completes meiosis only after fertilisation
Epiglottitis anatomy	Supraglottic inflammation	Airway-obstruction emergency
Croup anatomy	Subglottic narrowing	Barking cough and stridor
Paediatric airway	Functionally narrow subglottic/cricoid region in young children	Small oedema causes marked resistance
Hip pathology referred pain	Hip afferents may refer pain to knee	Limping-child diagnostic trap
Transient synovitis	Post-viral inflammation of hip synovium	Common cause of acute limp
Slipped capital femoral epiphysis	Femoral epiphysis displaced posteroinferiorly relative to neck	Adolescent limp and externally rotated leg
Parotid gland relation	Facial nerve traverses gland	Parotid surgery risk
Mumps complication	Epididymo-orchitis	Possible testicular atrophy/subfertility
Parotid duct	Crosses masseter, turns medially and pierces buccinator	Opens opposite upper second molar
Median nerve lesion	Thenar wasting and ape-thumb posture	Loss of thumb opposition
Radial nerve lesion	Wrist drop	Loss of wrist/finger extension
Ulnar nerve lesion	Clawing of 4th/5th digits	Interossei weakness
