Hypomagnesaemia and torsades	Cardiac electrophysiology	Low magnesium facilitates early afterdepolarisations in a prolonged repolarisation state.	It increases torsades risk, especially with QT-prolonging drugs or hypokalaemia.	IV magnesium treats torsades even if serum magnesium is not markedly low.	Recognise the electrophysiological rationale for magnesium therapy.
LAD: septal ECG territory	Coronary physiology/ECG	Septal depolarisation and injury are represented mainly by V1–V2; proximal LAD septal branches supply the interventricular septum.	ST elevation in V1–V2 suggests septal/anterior injury in the right context.	V1–V2 reciprocal ST depression can instead indicate posterior infarction.	Combine lead direction with reciprocal changes and clinical context.
LAD: anterior ECG territory	Coronary physiology/ECG	The anterior left ventricle is represented mainly by V3–V4 and is commonly supplied by the LAD.	ST elevation in V3–V4 localises anterior injury.	Do not assume every anterior-pattern elevation is occlusion; consider early repolarisation, LVH and pericarditis.	Link contiguous leads to the likely myocardial territory.
LAD: extensive anterior infarction	Coronary physiology/ECG	Proximal LAD occlusion may produce ST elevation across V1–V6 with I and aVL involvement.	Large anterior infarcts carry risk of pump failure, ventricular arrhythmia and septal/free-wall complications.	The exact artery cannot be determined solely from a generic anterior label.	Use lead extent and complications to infer proximal disease.
Lateral infarction ECG territory	Coronary physiology/ECG	I, aVL, V5 and V6 view the lateral left ventricle, supplied commonly by circumflex or diagonal branches.	ST elevation in these contiguous leads suggests lateral injury.	Isolated high-lateral change in I/aVL may be subtle and may have inferior reciprocal depression.	Distinguish lateral from anterior and inferior patterns.
Inferior infarction ECG territory	Coronary physiology/ECG	II, III and aVF view the inferior wall, usually supplied by the RCA in right-dominant circulation and sometimes the circumflex.	Inferior ST elevation may accompany bradycardia, AV block or right ventricular involvement.	Inferior location does not automatically prove RCA occlusion.	Use reciprocal and right-sided leads to refine the culprit artery.
RCA versus circumflex in inferior STEMI	Coronary physiology/ECG	RCA occlusion is favoured when ST elevation in III exceeds II, with reciprocal depression in aVL and possible right-ventricular changes.	Circumflex occlusion is more likely with lateral involvement and relatively greater elevation in II.	These are probabilistic ECG clues, not absolute angiographic proof.	Apply multiple lead relationships rather than a single rule.
Right ventricular infarction	Coronary physiology/ECG	Proximal RCA occlusion can infarct the right ventricle; right-sided lead V4R is the key additional lead.	Hypotension, raised JVP and clear lungs suggest preload-dependent RV failure.	Nitrates can worsen hypotension by reducing preload.	Recognise the haemodynamic and ECG combination.
Posterior myocardial infarction	Coronary physiology/ECG	Posterior injury produces reciprocal anterior changes: horizontal ST depression, tall R waves and upright T waves in V1–V3; V7–V9 may show ST elevation.	Often accompanies inferior or lateral infarction from RCA or circumflex disease.	Do not dismiss isolated anterior ST depression as simple subendocardial ischaemia without considering posterior occlusion.	Use posterior leads to reveal the hidden injury vector.
Left main or multivessel ischaemia pattern	Coronary physiology/ECG	Diffuse ST depression with ST elevation in aVR can reflect global subendocardial ischaemia from left main, proximal LAD or severe multivessel disease.	It is a high-risk pattern in the appropriate acute syndrome.	It is not specific enough to diagnose left-main occlusion by itself.	Recognise global supply–demand or proximal coronary danger.
Wellens pattern	Coronary physiology/ECG	Biphasic or deeply inverted T waves in V2–V4 during a pain-free period can indicate critical proximal LAD disease.	Cardiac markers may be normal or only mildly raised despite high short-term risk.	Exercise testing is unsafe because it may precipitate infarction.	Identify a reperfusion-pattern warning rather than benign T-wave inversion.
De Winter pattern	Coronary physiology/ECG	Upsloping ST depression at the J point with tall symmetrical precordial T waves and possible aVR elevation can indicate proximal LAD occlusion.	It is an occlusion-equivalent pattern requiring urgent recognition.	Do not label it simply as hyperkalaemia without considering regional lead distribution and symptoms.	Recognise an anterior occlusion without classic ST elevation.
Coronary dominance	Coronary physiology/ECG	Dominance is defined by the artery giving rise to the posterior descending artery, usually the RCA.	It influences inferior/posterior territory and AV-nodal blood supply.	Dominance is not determined by which coronary artery is physically larger.	Explain variation in infarct patterns and complications.
AV-node blood supply	Coronary physiology/ECG	The AV nodal artery usually arises from the RCA in right-dominant circulation and from the circumflex in left dominance.	Inferior MI can cause transient AV nodal block and bradycardia.	High-grade block in anterior MI more often reflects extensive His–Purkinje necrosis and has worse prognosis.	Use block location to infer infarct territory and severity.
Papillary-muscle rupture physiology	Coronary physiology/ECG	The posteromedial papillary muscle has a single main blood supply, usually from the posterior descending artery, making it more vulnerable after inferior MI.	Rupture causes acute severe mitral regurgitation, pulmonary oedema and shock.	A new murmur may be soft when forward output is very low.	Link post-MI timing and arterial supply to mechanical complication.
Ventricular septal rupture physiology	Coronary physiology/ECG	Transmural septal necrosis can rupture, creating an acute left-to-right shunt.	A harsh new murmur, shock and step-up in right-sided oxygen saturation may occur.	The haemodynamic lesion is a shunt, unlike papillary rupture causing regurgitation.	Differentiate mechanical complications after MI.
Free-wall rupture physiology	Coronary physiology/ECG	Transmural necrosis can rupture into the pericardial space, producing haemopericardium and tamponade.	Sudden collapse, electromechanical dissociation or recurrent pain may occur days after MI.	It does not produce the prominent left-to-right shunt of septal rupture.	Identify catastrophic post-infarct tamponade.
Alveolar ventilation equation	Respiratory	Alveolar ventilation = respiratory rate × (tidal volume − dead-space volume); arterial CO2 varies inversely with alveolar ventilation.	Shallow rapid breathing may give poor ventilation despite a high respiratory rate.	Minute ventilation includes dead-space ventilation and may be misleading.	Explain hypercapnia from reduced effective ventilation.
Ventilation–perfusion mismatch	Respiratory	V/Q mismatch occurs when ventilation and perfusion are unevenly matched across lung units.	It is the commonest mechanism of hypoxaemia and usually improves with supplemental oxygen.	A true shunt responds poorly to oxygen compared with ordinary V/Q mismatch.	Interpret hypoxaemia in COPD, asthma, pneumonia and pulmonary embolism.
Right-to-left shunt physiology	Respiratory	Perfusion of non-ventilated lung or anatomical right-to-left flow mixes deoxygenated blood with systemic arterial blood.	Severe pneumonia, pulmonary oedema and ARDS can cause shunt-like hypoxaemia.	High inspired oxygen has limited effect when blood bypasses ventilated alveoli.	Distinguish shunt from low V/Q and hypoventilation.
Physiological dead space	Respiratory	Dead space is ventilation that does not participate effectively in gas exchange; physiological dead space includes anatomical and alveolar components.	Pulmonary embolism increases alveolar dead space by ventilating unperfused lung.	Dead space is not the same as shunt; one lacks perfusion, the other lacks ventilation.	Explain tachypnoea and inefficient ventilation in PE.
Alveolar–arterial oxygen gradient	Respiratory	The A–a gradient compares calculated alveolar oxygen with measured arterial oxygen.	It is normal in pure hypoventilation or low inspired oxygen and raised in V/Q mismatch, diffusion impairment or shunt.	The normal gradient increases with age and inspired oxygen.	Use it to classify mechanisms of hypoxaemia.
Diffusion limitation	Respiratory	Gas transfer falls when membrane thickness increases, surface area decreases or capillary transit time is too short.	Interstitial lung disease lowers diffusion capacity and may cause exertional desaturation.	Oxygen is normally perfusion-limited at rest but can become diffusion-limited in disease.	Link DLCO and exercise hypoxaemia to alveolar-capillary pathology.
Hypoxic pulmonary vasoconstriction	Respiratory	Low alveolar oxygen constricts nearby pulmonary arterioles, diverting blood toward better-ventilated units.	It improves local V/Q matching but widespread hypoxia raises pulmonary artery pressure.	This is opposite to systemic vascular responses to hypoxia.	Explain pulmonary hypertension in chronic lung disease and altitude.
Type 1 respiratory failure	Respiratory	Type 1 respiratory failure is hypoxaemia without hypercapnia, usually from V/Q mismatch, shunt or diffusion failure.	PaO2 is low while PaCO2 is normal or low because ventilation is maintained or increased.	It is a gas-exchange failure, not necessarily a ventilation failure.	Differentiate pneumonia/PE physiology from ventilatory failure.
Type 2 respiratory failure	Respiratory	Type 2 respiratory failure includes hypercapnia from inadequate alveolar ventilation, usually with hypoxaemia.	Causes include severe COPD, neuromuscular weakness, central depression and chest-wall failure.	Hypercapnia requires insufficient effective ventilation; V/Q mismatch alone is not enough.	Identify when ventilatory support is required.
Oxyhaemoglobin curve right shift	Respiratory/Haematology	Increased CO2, hydrogen ions, temperature and 2,3-BPG reduce haemoglobin oxygen affinity.	A right shift promotes oxygen unloading in metabolically active tissue.	Affinity falls even though PaO2 may be unchanged.	Apply the Bohr effect in fever, acidosis and exercise.
Oxyhaemoglobin curve left shift	Respiratory/Haematology	Reduced CO2, alkalosis, lower temperature, fetal haemoglobin and carbon monoxide increase apparent oxygen affinity.	A left shift impairs tissue unloading despite high saturation.	Carbon monoxide also reduces available binding sites, so normal PaO2 is misleading.	Interpret fetal oxygen transfer and carbon-monoxide poisoning.
Bohr effect	Respiratory/Haematology	Raised CO2 and hydrogen ions decrease haemoglobin affinity for oxygen, facilitating peripheral unloading.	Actively metabolising tissues extract oxygen more effectively.	The Bohr effect concerns CO2/H+ effects on oxygen binding; the Haldane effect concerns oxygenation effects on CO2 carriage.	Distinguish the two named gas-transport effects.
Haldane effect	Respiratory/Haematology	Deoxygenated haemoglobin binds more CO2 and hydrogen ions; oxygenation in the lungs promotes CO2 release.	High-concentration oxygen can reduce haemoglobin CO2 carriage and contribute to rising PaCO2 in susceptible COPD.	It is not simply loss of hypoxic respiratory drive.	Explain one component of oxygen-induced hypercapnia.
Oxygen-induced hypercapnia in COPD	Respiratory	High oxygen can worsen V/Q mismatch by reversing hypoxic pulmonary vasoconstriction and can increase dissolved CO2 through the Haldane effect.	PaCO2 may rise rapidly in patients with chronic hypercapnic respiratory failure.	Reduced respiratory drive is usually not the sole or dominant explanation.	Justify controlled oxygen targets and repeat blood gases.
Lung compliance	Respiratory	Compliance is change in volume per change in pressure; it rises in emphysema and falls in fibrosis, oedema and ARDS.	Low compliance increases work of breathing; high compliance impairs elastic recoil.	Easy inflation in emphysema does not mean effective ventilation.	Interpret pressure–volume curves and ventilator pressures.
Pulmonary surfactant	Respiratory	Type II pneumocytes produce surfactant, reducing surface tension, increasing compliance and preventing alveolar collapse.	Deficiency causes neonatal respiratory distress; dysfunction contributes to atelectasis.	Surfactant has greatest stabilising effect in smaller alveoli.	Apply Laplace law to alveolar stability.
Laplace law in alveoli	Respiratory	For a sphere, pressure needed to keep it open is proportional to surface tension and inversely proportional to radius.	Without surfactant, small alveoli would empty into larger alveoli and collapse.	Surfactant is not merely a lubricant; it changes surface tension dynamically.	Explain atelectasis and neonatal distress.
Obstructive spirometry	Respiratory	Airflow obstruction disproportionately lowers FEV1, reducing FEV1/FVC.	Air trapping may increase residual volume and total lung capacity.	A low FVC alone does not prove restriction because severe obstruction can trap air.	Recognise asthma/COPD patterns.
Restrictive spirometry	Respiratory	Restriction reduces lung volumes with preserved or increased FEV1/FVC; total lung capacity confirms restriction.	Fibrosis produces low TLC and often low DLCO.	Spirometry alone cannot definitively diagnose restriction without lung-volume measurement.	Separate true restriction from poor effort or air trapping.
Bronchodilator reversibility	Respiratory	A significant post-bronchodilator rise in airflow supports variable reversible obstruction.	It is common in asthma but may also occur in COPD.	Absence of reversibility on one test does not exclude asthma.	Interpret spirometry in context rather than using a single absolute rule.
Diffusing capacity (DLCO)	Respiratory	DLCO reflects alveolar-capillary surface area, membrane conductance and pulmonary capillary blood volume.	It falls in emphysema, interstitial lung disease, pulmonary vascular disease and anaemia; it may be normal or high in asthma.	Anaemia lowers DLCO without primary lung pathology.	Use DLCO to distinguish causes of obstruction or restriction.
Central and peripheral chemoreceptors	Respiratory	Central chemoreceptors respond mainly to CSF hydrogen ions generated from CO2; carotid bodies respond rapidly to low PaO2, pH and PaCO2.	Peripheral hypoxic drive becomes prominent when PaO2 falls substantially.	Central chemoreceptors do not directly sense arterial oxygen.	Explain ventilatory responses to hypercapnia, hypoxia and metabolic acidosis.
Pulmonary embolism gas exchange	Respiratory	Occluded perfusion creates high V/Q and dead space; redistribution can also create low-V/Q regions.	Hypoxaemia with respiratory alkalosis is common, but normal oxygen does not exclude PE.	The primary lesion is perfusion failure, not airway obstruction.	Connect clot burden to dead space, tachypnoea and right-heart strain.
Dynamic hyperinflation	Respiratory	When expiratory time is insufficient, incomplete exhalation causes progressive air trapping and intrinsic PEEP.	Occurs in severe asthma/COPD and can impair venous return, causing hypotension during ventilation.	Increasing respiratory rate can worsen rather than improve ventilation.	Recognise the need for longer expiratory time.
Closing capacity and age	Respiratory	Closing capacity is the lung volume at which small dependent airways begin to close; it rises with age and supine posture.	When it exceeds FRC, dependent airway closure and hypoxaemia become more likely.	Obesity, anaesthesia and pregnancy reduce FRC and magnify the problem.	Explain peri-operative and age-related desaturation.
ARDS physiology	Respiratory	Diffuse inflammatory alveolar-capillary injury causes permeability oedema, surfactant dysfunction, low compliance and intrapulmonary shunt.	Hypoxaemia is often refractory to simple oxygen and may improve with PEEP/proning.	This is non-cardiogenic oedema, though cardiac and ARDS mechanisms can coexist.	Link severe systemic insult to shunt physiology.
Glomerular filtration pressure	Renal	GFR depends on filtration coefficient and net filtration pressure across glomerular capillaries.	It falls with low renal perfusion, obstruction or reduced filtration surface.	Serum creatinine changes lag behind an acute fall in GFR.	Interpret AKI before equilibrium is reached.
Afferent arteriolar constriction	Renal	Afferent constriction reduces renal blood flow and glomerular capillary pressure, lowering GFR.	NSAID-mediated prostaglandin inhibition can precipitate this in volume-depleted patients.	Both renal blood flow and filtration pressure fall.	Explain haemodynamic AKI with NSAIDs.
Efferent arteriolar constriction	Renal	Moderate efferent constriction raises glomerular pressure and filtration fraction despite reduced renal blood flow.	Angiotensin II helps preserve GFR during reduced perfusion.	Severe constriction can eventually lower GFR by reducing flow and increasing oncotic pressure.	Understand RAAS compensation in hypovolaemia.
ACE inhibitor effect on GFR	Renal	ACE inhibition dilates the efferent arteriole and lowers intraglomerular pressure.	Creatinine may rise after initiation, especially with bilateral renal artery stenosis or severe volume depletion.	A modest stable rise is not automatically drug toxicity.	Recognise haemodynamic renal failure and when to investigate.
Filtration fraction	Renal	Filtration fraction = GFR ÷ renal plasma flow.	It rises with moderate efferent constriction and falls with afferent constriction or efferent dilation.	GFR and renal plasma flow can change in different directions.	Use paired changes to localise arteriolar effects.
Proximal tubule physiology	Renal	The proximal tubule reabsorbs most filtered sodium and water, nearly all glucose/amino acids, and most bicarbonate iso-osmotically.	Carbonic anhydrase inhibition causes bicarbonaturia and proximal acidosis.	Water follows solute, so tubular fluid remains roughly iso-osmotic.	Localise Fanconi syndrome and acetazolamide effects.
Thick ascending limb physiology	Renal	The NKCC2 transporter reabsorbs sodium, potassium and chloride; the segment is impermeable to water and creates medullary hypertonicity.	Loop diuretics impair concentrating ability and increase calcium/magnesium excretion.	It dilutes tubular fluid despite reabsorbing solute.	Explain loop-diuretic electrolyte effects.
Distal convoluted tubule physiology	Renal	The NCC transporter reabsorbs sodium chloride; the segment participates in calcium handling under PTH influence.	Thiazides reduce urinary calcium and can cause hyponatraemia and hypokalaemia.	This contrasts with loop diuretics, which increase calcium loss.	Differentiate Gitelman-like from Bartter-like physiology.
Collecting duct physiology	Renal	Principal cells reabsorb sodium through ENaC and secrete potassium; intercalated cells regulate acid–base balance.	Aldosterone increases ENaC activity and potassium/hydrogen loss; ADH increases water permeability via aquaporin-2.	Aldosterone and ADH have distinct primary actions.	Interpret hyperaldosteronism, amiloride and DI.
Countercurrent multiplier	Renal	Active salt reabsorption in the water-impermeable ascending limb and water exit from the descending limb build the medullary osmotic gradient.	The vasa recta preserve the gradient by countercurrent exchange.	ADH uses the gradient but does not create it alone.	Explain urine concentration and loop-diuretic effects.
ADH and aquaporin-2	Renal/Endocrine	ADH binds V2 receptors on collecting-duct principal cells, inserting aquaporin-2 channels into the apical membrane.	Water is reabsorbed down the medullary osmotic gradient, concentrating urine.	V1 receptors mediate vasoconstriction, not collecting-duct water permeability.	Differentiate central DI, nephrogenic DI and SIADH.
SIADH physiology	Renal/Endocrine	Inappropriate ADH causes water retention, low serum osmolality and inappropriately concentrated urine with continued urinary sodium loss after mild volume expansion.	Patients are usually clinically euvolaemic rather than overtly oedematous.	A concentrated urine in hypotonic hyponatraemia is abnormal unless a non-osmotic ADH stimulus exists.	Interpret paired serum and urine osmolality/sodium.
Diabetes insipidus physiology	Renal/Endocrine	Absent ADH secretion or renal ADH resistance prevents urine concentration, producing polyuria and dilute urine.	Central DI responds to desmopressin; nephrogenic DI does not substantially concentrate.	Primary polydipsia also gives dilute urine but suppresses ADH appropriately.	Use water deprivation and desmopressin response conceptually.
Fractional excretion of sodium	Renal	FeNa estimates the fraction of filtered sodium excreted.	A low value can support avid sodium retention in pre-renal physiology; a higher value may support tubular injury.	Diuretics, CKD, pigment injury and early obstruction can make FeNa misleading.	Use as supportive evidence, not a standalone AKI diagnosis.
Fractional excretion of urea	Renal	FeUrea may be less affected than FeNa by loop or thiazide diuretics.	A low value can support pre-renal physiology in a diuretic-treated patient.	It is still imperfect in sepsis, CKD and mixed renal injury.	Choose the more appropriate fractional-excretion index.
Serum anion gap	Acid–base	Anion gap = sodium − (chloride + bicarbonate), representing unmeasured anions.	It rises with lactate, ketones, renal acids and selected toxins.	Low albumin lowers the expected gap and can mask an anion-gap acidosis.	Classify metabolic acidosis before finding the cause.
Delta ratio	Acid–base	The rise in anion gap compared with the fall in bicarbonate helps detect a second metabolic process.	A disproportionately small bicarbonate fall suggests concurrent metabolic alkalosis; a large fall suggests additional normal-gap acidosis.	It is useful only after accounting for baseline/albumin and clinical context.	Identify mixed metabolic disorders.
Winter’s formula	Acid–base	Expected PaCO2 in metabolic acidosis is approximately 1.5 × bicarbonate + 8, with a small range.	Measured PaCO2 above expected indicates additional respiratory acidosis; below expected indicates respiratory alkalosis.	Compensation does not normally overcorrect to alkalosis.	Detect mixed respiratory pathology in DKA or sepsis.
Respiratory compensation for metabolic alkalosis	Acid–base	Hypoventilation raises PaCO2 in response to metabolic alkalosis, but compensation is limited by hypoxaemia.	PaCO2 rises roughly in proportion to the bicarbonate increase.	Marked hypercapnia should prompt a superimposed ventilatory disorder.	Identify mixed alkalosis and respiratory failure.
